id,namaSparepart,namaLokalSparepart,kodeSparepart,grupSparepart,label,hargaLokal,hargaNasional,hargaJual,hargaJualHET,uom,rak,aktif,nilaiDiskon,persentaseDiskon,stok,grupKodeAHM,kategoriETD,etaTercepat,etaTerlama
62201,HONDA HOODIE JACKET BG S,,AHJK0001029,HGP,AHJK0001029 - HONDA HOODIE JACKET BG S,370000,370000,370000,370000,PCS,,true,0,0,0,HND-81A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62200,HONDA POLO SHIRT BEIGE S,,AHPS0006012,HGP,AHPS0006012 - HONDA POLO SHIRT BEIGE S,170000,170000,170000,170000,PCS,,true,0,0,0,HND-81A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62199,HEADLIGHT CAP STYLO 24,,3310AK3VA00,HGP,3310AK3VA00 - HEADLIGHT CAP STYLO 24,160000,160000,160000,160000,PCS,,true,0,0,0,HND-82A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62198,HONDA HOODIE JACKET BG M,,AHJK0101029,HGP,AHJK0101029 - HONDA HOODIE JACKET BG M,370000,370000,370000,370000,PCS,,true,0,0,0,HND-81A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62197,GARN FR SIDE BODY STYLO 24,,8350BK3VA00,HGP,8350BK3VA00 - GARN FR SIDE BODY STYLO 24,675000,675000,675000,675000,PCS,,true,0,0,0,HND-82A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62196,HONDA HOODIE JACKET BG XXL,,AHJK0401029,HGP,AHJK0401029 - HONDA HOODIE JACKET BG XXL,370000,370000,370000,370000,PCS,,true,0,0,0,HND-81A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62195,GARNISH MUFFLER STYLO 24,,08F88K3VA00,HGP,08F88K3VA00 - GARNISH MUFFLER STYLO 24,188000,188000,188000,188000,PCS,,true,0,0,0,HND-82A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62194,HONDA OVRSZD TSHIRT SG M,,AHTS0101051,HGP,AHTS0101051 - HONDA OVRSZD TSHIRT SG M,150000,150000,150000,150000,PCS,,true,0,0,0,HND-81A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62193,GARN FULL SD BODY STYLO 24,,8350CK3VA00,HGP,8350CK3VA00 - GARN FULL SD BODY STYLO 24,1000000,1000000,1000000,1000000,PCS,,true,0,0,0,HND-82A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62192,HONDA OVRSZD TSHIRT SG L,,AHTS0201051,HGP,AHTS0201051 - HONDA OVRSZD TSHIRT SG L,150000,150000,150000,150000,PCS,,true,0,0,0,HND-81A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62191,HONDA TOTE BAG SAGE,,AHGK0010015,HGP,AHGK0010015 - HONDA TOTE BAG SAGE,190000,190000,190000,190000,PCS,,true,0,0,0,HND-81A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62190,HONDA FASHION HELMET BG M,,87100FSBEIM,HGP,87100FSBEIM - HONDA FASHION HELMET BG M,330000,330000,330000,330000,PCS,,true,0,0,0,HND-81A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62189,HONDA TOTE BAG BEIGE,,AHGK0010016,HGP,AHGK0010016 - HONDA TOTE BAG BEIGE,190000,190000,190000,190000,PCS,,true,0,0,0,HND-81A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62188,HONDA OVRSZD TSHIRT BG S,,AHTS0001052,HGP,AHTS0001052 - HONDA OVRSZD TSHIRT BG S,150000,150000,150000,150000,PCS,,true,0,0,0,HND-81A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62187,HONDA HOODIE JACKET SG XXL,,AHJK0401028,HGP,AHJK0401028 - HONDA HOODIE JACKET SG XXL,370000,370000,370000,370000,PCS,,true,0,0,0,HND-81A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62186,HONDA HOODIE JACKET BG L,,AHJK0201029,HGP,AHJK0201029 - HONDA HOODIE JACKET BG L,370000,370000,370000,370000,PCS,,true,0,0,0,HND-81A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62185,HONDA FASHION HELMET BLK M,,87100FSBLKM,HGP,87100FSBLKM - HONDA FASHION HELMET BLK M,330000,330000,330000,330000,PCS,,true,0,0,0,HND-81A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62184,HONDA POLO SHIRT SAGE S,,AHPS0005012,HGP,AHPS0005012 - HONDA POLO SHIRT SAGE S,170000,170000,170000,170000,PCS,,true,0,0,0,HND-81A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62183,HONDA FASHION HELMET BLK L,,87100FSBLKL,HGP,87100FSBLKL - HONDA FASHION HELMET BLK L,330000,330000,330000,330000,PCS,,true,0,0,0,HND-81A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62182,GARN BACK MIRROR STYLO 24,,08F22K3VA00,HGP,08F22K3VA00 - GARN BACK MIRROR STYLO 24,150000,150000,150000,150000,PCS,,true,0,0,0,HND-82A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62181,HONDA HOODIE JACKET SG L,,AHJK0201028,HGP,AHJK0201028 - HONDA HOODIE JACKET SG L,370000,370000,370000,370000,PCS,,true,0,0,0,HND-81A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62180,HONDA FASHION HELMET BLK XL,,87100FSBLKXL,HGP,87100FSBLKXL - HONDA FASHION HELMET BLK XL,330000,330000,330000,330000,PCS,,true,0,0,0,HND-81A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62179,GARN FRONT GRILL STYLO 24,,3311AK3VA00,HGP,3311AK3VA00 - GARN FRONT GRILL STYLO 24,350000,350000,350000,350000,PCS,,true,0,0,0,HND-82A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62178,HONDA FASHION HELMET SG XL,,87100FSSAGXL,HGP,87100FSSAGXL - HONDA FASHION HELMET SG XL,360000,360000,360000,360000,PCS,,true,0,0,0,HND-81A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62177,FG HONDA CLSC DNM SHIRT (S),,FGAHK00001013,HGP,FGAHK00001013 - FG HONDA CLSC DNM SHIRT (S),120065,120065,120065,120065,PCS,,true,0,0,0,HND-41E,,2024-07-26 00:00:00,2024-07-31 00:00:00
62176,"COVER,R FRONT SIDE(SOZAI)",,64340K64N00AA,HGP,"64340K64N00AA - COVER,R FRONT SIDE(SOZAI)",75000,75000,75000,75000,PCS,,true,0,0,0,HND-02A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62175,COLLAR R CRANK SHAFT,,13412K84N00,HGP,13412K84N00 - COLLAR R CRANK SHAFT,50000,50000,50000,50000,PCS,,true,0,0,0,HND-02B,,2024-07-26 00:00:00,2024-07-31 00:00:00
62174,SMART KEY REMOTE CVR WHT 24,,03512SKRCWH,HGP,03512SKRCWH - SMART KEY REMOTE CVR WHT 24,59000,59000,59000,59000,PCS,,true,0,0,0,HND-82A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62173,SMART KEY REMOTE CVR BLK 24,,03512SKRCBL,HGP,03512SKRCBL - SMART KEY REMOTE CVR BLK 24,59000,59000,59000,59000,PCS,,true,0,0,0,HND-82A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62172,"SW ASSY,ST ENG ST",,35130K33D02,HGP,"35130K33D02 - SW ASSY,ST ENG ST",312000,312000,312000,312000,PCS,,true,0,0,0,HND-01A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62171,CLAMPER RR BRK HOSE,,43155K26900,HGP,43155K26900 - CLAMPER RR BRK HOSE,10000,10000,10000,10000,PCS,,true,0,0,0,HND-06A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62170,SMART KEY REMOTE CVR RED 24,,03512SKRCRE,HGP,03512SKRCRE - SMART KEY REMOTE CVR RED 24,59000,59000,59000,59000,PCS,,true,0,0,0,HND-82A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62169,SMART KEY REMOTE CVR CPR 24,,03512SKRCCP,HGP,03512SKRCCP - SMART KEY REMOTE CVR CPR 24,59000,59000,59000,59000,PCS,,true,0,0,0,HND-82A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62168,SWITCH ASSY WINKER,,35200K45N42,HGP,35200K45N42 - SWITCH ASSY WINKER,200000,200000,200000,200000,PCS,,true,0,0,0,HND-11A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62167,"COVER, L FRONT (RO WH)",,64202K2FN00YM,HGP,"64202K2FN00YM - COVER, L FRONT (RO WH)",172000,172000,172000,172000,PCS,,true,0,0,0,HND-02B,,2024-07-26 00:00:00,2024-07-31 00:00:00
62166,HONDA FASHION HELMET BG L,,87100FSBEIL,HGP,87100FSBEIL - HONDA FASHION HELMET BG L,330000,330000,330000,330000,PCS,,true,0,0,0,HND-81A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62165,KEY SET,,35010K18961,HGP,35010K18961 - KEY SET,1059500,1059500,1059500,1059500,PCS,,true,0,0,0,HND-11A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62164,"FENDER,FR (MT SA GR)",,61100K0JN00ZL,HGP,"61100K0JN00ZL - FENDER,FR (MT SA GR)",155000,155000,155000,155000,PCS,,true,0,0,0,HND-02B,,2024-07-26 00:00:00,2024-07-31 00:00:00
62163,"BEARING,BALL,RADIAL,6201(UU)",,961506201010,HGP,"961506201010 - BEARING,BALL,RADIAL,6201(UU)",76000,76000,76000,76000,PCS,,true,0,0,0,HND-01A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62162,"BOLT,FLANGE, 10X 55",,958011005508,HGP,"958011005508 - BOLT,FLANGE, 10X 55",12000,12000,12000,12000,PCS,,true,0,0,0,HND-01A,,2024-07-26 00:00:00,2024-07-31 00:00:00
